"","Date","Color","Breed","Sex","State","Name","DateCreated","Year","Month","Day","Wday"
"1",2011-01-31,"White W/ Black Ears","Jack Russel X","M","Matched","Snoopy",2011-01-31,"2011","1",31,"Mon"
"2",2011-01-31,"Black","Dlh","F/S","Lost","Bailey",2011-01-31,"2011","1",31,"Mon"
"3",2011-02-01,"Black/white Tuxedo","Dsh","M/N","Lost","Jake",2011-02-01,"2011","2",1,"Tues"
"4",2011-02-01,"Sable","Pomeranian X","M","Lost","Sparky",2011-02-01,"2011","2",1,"Tues"
"5",2011-02-01,"White/rusty","Border Collie","M/N","Matched","Archie",2011-02-01,"2011","2",1,"Tues"
"6",2011-02-03,"Brown & White","King Charles Spaniel","F","Lost","Piper",2011-02-03,"2011","2",3,"Thurs"
"7",2011-02-04,"Tan/white (w/cropped Ears)","Pitbull","M","Lost","Kane",2011-02-04,"2011","2",4,"Fri"
"8",2011-02-06,"Golden (very Red W/pink Nose)","Golden Retreiver","F/S","Lost","Peanut",2011-02-06,"2011","2",6,"Sun"
"9",2011-02-06,"Tan & White","Pitbull X","F/S","Lost","Annabelle",2011-02-06,"2011","2",6,"Sun"
"10",2011-02-07,"Black & Brown","Terrier X","F/S","Matched","Coconut",2011-02-07,"2011","2",7,"Mon"
"11",2011-02-08,"Black/orange/white","Calico","F/S","Lost","Halley",2011-02-08,"2011","2",8,"Tues"
"12",2011-02-09,"Cream/dark","Pom Eskimo X","M/N","Lost","Hot Dog",2011-02-09,"2011","2",9,"Wed"
"13",2011-02-11,"White/tan","Chihuahua","M/N","Lost","Izzy",2011-02-11,"2011","2",11,"Fri"
"14",2011-02-11,"White","Maltese/toy Poodle","F/S","Lost","Kimmy",2011-02-11,"2011","2",11,"Fri"
"15",2011-02-14,"Black","Chihuahua","F/S","Lost","Lilo",2011-02-14,"2011","2",14,"Mon"
"16",2011-02-15,"White/black","Japanese Spaniel","F/S","Lost","Princess",2011-02-15,"2011","2",15,"Tues"
"17",2011-02-16,"Black & Tan","","","Lost","No Name",2011-02-16,"2011","2",16,"Wed"
"18",2011-02-17,"Black","Tibetan Mastiff","M","Lost","Wongwong",2011-02-17,"2011","2",17,"Thurs"
"19",2011-02-18,"Black & Tan","German Shepherd","M/N","Lost","Tony",2011-02-18,"2011","2",18,"Fri"
"20",2011-02-18,"Brown","Chihuahua X","M","Lost","Coochie",2011-02-18,"2011","2",18,"Fri"
"21",2011-02-18,"Grey W/ Tan Markings","Staffordshire","M","Matched","Moses",2011-02-18,"2011","2",18,"Fri"
"22",2011-02-18,"Black","Poodle X ( Spaniel)","F/S","Lost","Kiko",2011-02-18,"2011","2",18,"Fri"
"23",2011-02-18,"Brindle","Pitbull X","M/N","Lost","Randy",2011-02-18,"2011","2",18,"Fri"
"24",2011-02-21,"Blue - White Chest","Pit Bull","M","Lost","Suede",2011-02-21,"2011","2",21,"Mon"
"25",2011-02-22,"Black","French Bulldog","F","Lost","Beautiful",2011-02-22,"2011","2",22,"Tues"
"26",2011-02-24,"Black & White","Labrador X","F/S","Lost","Kaida",2011-02-24,"2011","2",24,"Thurs"
"27",2011-02-13,"Grey/black","Dsh","M","Lost","Poncho",2011-02-24,"2011","2",13,"Sun"
"28",2011-02-24,"Cream/beige","Pom","F/S","Matched","Lucy",2011-02-24,"2011","2",24,"Thurs"
"29",2011-02-25,"Black & White","Pitbull/lab","F/S","Lost","Kaida (answer To Boo Or Booey)",2011-02-25,"2011","2",25,"Fri"
"30",2011-02-27,"Black & White","Husky X","M/N","Lost","Nanook",2011-02-27,"2011","2",27,"Sun"
