Date,Color,Breed,Sex,State,Name,DateCreated
2015-01-02,Cream,Pomeranian,M,Lost,Tito,2015-01-02
2015-01-02,Brown,Pomeranian,M,Lost,Chico,2015-01-02
2015-01-02,White,Tabby,M/N,Lost,Rascal,2015-01-02
2015-01-02,White,Husky X,M,Lost,Rae,2015-01-02
2015-01-03,Black,Blue Heeler,M,Lost,Louis,2015-01-03
2015-01-03,Yellow,Sun Conmure,M,Matched,Phoenix,2015-01-03
2015-01-05,Golden,Shiba Inu,F,Lost,Stella,2015-01-05
2015-01-07,Red,Corgi,F,Lost,Kirby,2015-01-07
2015-01-07,Cream,Standard Poodle,M,Matched,Gaspard,2015-01-07
2015-01-07,White,Pit Bull,F,Lost,Bella,2015-01-07
2015-01-09,Golden,Golden Retriever,F/S,Matched,Jinnie,2015-01-09
2015-01-09,Apricot,Lab X,F/S,Lost,Iggy Poop,2015-01-09
2015-01-09,Grey,Dlh,M,Lost,Chester,2015-01-09
2015-01-10,Grey,Weimaraner,M,Lost,Able,2015-01-10
2015-01-11,White,Beagle,,Lost,Mocha,2015-01-11
2015-01-12,Grey,Pit Bull,M,Lost,Spike,2015-01-12
2015-01-14,Black,Border Collie,M,Lost,Backster,2015-01-14
2015-01-15,Black,Germ. Shepherd,M,Matched,Bear,2015-01-15
2015-01-16,Brown,Cav. King Charles Span.,M,Lost,Gallaleo,2015-01-16
2015-01-17,Black,Shih Tzu,F/S,Lost,Oreo,2015-01-17
2015-01-18,Red,Retriever,M,Lost,Poco Or Howard,2015-01-18
2015-01-18,Black,Lab X,,Lost,Petra,2015-01-18
2015-01-18,Brown,Chihuahua,M,Lost,Nacho,2015-01-18
2015-01-19,Grey,Schnauzer,M,Lost,Simba,2015-01-19
2015-01-19,Brown,Chihuahua,M,Lost,Nacho,2015-01-19
2015-01-19,Grey,Grey Tabby,M/N,Lost,No Name,2015-01-19
2015-01-20,Black,.Unknown Breed Mix,,Lost,No Name,2015-01-20
2015-01-21,Grey,Dlh Tabby,M,Lost,Joey,2015-01-21
2015-01-21,Black,Shepherd X,F,Lost,Lilly,2015-01-21
2015-01-22,Yellow,Lab X,F/S,Lost,Zelda,2015-01-22
2015-01-22,Brown,Terrier X,M,Matched,Cookie,2015-01-22
2015-01-23,Brown,Fox Terrier,M,Lost,Cookie,2015-01-23
2015-01-23,Black,Beagle,F,Lost,Yucca,2015-01-23
2015-01-24,Black,Labrador,M,Lost,Puppy,2015-01-24
2015-01-24,White,Maltese,M,Matched,Teddy,2015-01-24
2015-01-25,Brown,Poodle,M,Lost,Maomao,2015-01-25
2015-01-26,Brown,Terrier X,M/N,Lost,Cookie,2015-01-26
2015-01-26,Brown,Bullmastiff,M,Lost,Prince,2015-01-26
2015-01-26,White,Havanese,F,Lost,Roxi & Brandi,2015-01-26
2015-01-26,Tan,Dachshund,M/N,Lost,Wallace,2015-01-26
2015-01-27,Brown,Toy Poodle,F,Matched,Roxie,2015-01-27
2015-01-27,Black,Shepherd X,X,Lost,Rooney,2015-01-27
2015-01-27,Brown,Pug,M,Lost,Bo,2015-01-27
2015-01-27,Charcoal,Lab X,M,Lost,Dutch,2015-01-27
2015-01-07,Grey,Long Haired Ragdoll,M,Lost,Callie Rose,2015-01-28
2015-01-28,Brown,"Reported As ""mutt""",F,Lost,No Name,2015-01-28
2015-01-30,White,Amer. Eskimo Dog,M,Matched,Milky,2015-01-30
2015-01-30,Brown,Germ. W/haired Pointer,F/S,Lost,Rosca,2015-01-30
2015-01-31,Black,Tabby,M/N,Lost,No Name,2015-01-31
2015-01-31,Grey,Persian/main Coon X,M,Matched,Bag # 1500010,2015-01-31
2015-02-01,Tan,Pug,,Lost,Hot Pot,2015-02-01
2015-02-02,White,Pekingese X,M,Lost,Charlie,2015-02-02
2015-02-05,Tan,Boxer,M,Lost,Lucky,2015-02-05
2015-02-05,Grey,Poodle,F,Lost,Emily,2015-02-05
2015-02-07,Black,Pomeranian,F,Matched,Peanut,2015-02-07
2015-02-08,White,Poodle X,M,Matched,Snoopy,2015-02-08
2015-02-08,Black,.Unknown Breed Mix,M,Lost,Chucky,2015-02-08
2015-02-08,Brown,Boxer,M/N,Matched,Stormy,2015-02-08
2015-02-08,White,Amer. Eskimo Dog,M,Lost,Not In English,2015-02-08
2015-02-08,Black,Toy Poodle,F,Matched,Nooshi,2015-02-08
2015-02-09,Brown,Labrador,F,Matched,Stella,2015-02-09
2015-02-10,Brown,Tabby,M,Lost,Gitty,2015-02-10
2015-02-10,White,Poodle X,F,Lost,Sofie Or Sufie,2015-02-10
2015-02-10,Grey,Unknown,,Lost,Mason,2015-02-10
2015-02-10,Brown,Teacup Poodle,F,Lost,Dou Dou,2015-02-10
2015-02-11,Cream,Poodle X,X,Lost,Paomian,2015-02-11
2015-02-12,Grey,Tabby,F,Lost,Josie,2015-02-12
2015-02-13,Grey,Schnauzer,F,Matched,Unagi,2015-02-13
2015-02-13,White,Shih Tzu,M,Lost,Gq,2015-02-13
2015-02-14,Black,Shih Tzu,F,Lost,Zelda,2015-02-14
